MONTH_NAME,STATE,REGION,SEASON,EVENT_TYPE,INJURIES_TOTAL,DEATHS_TOTAL,DAMAGE_TOTAL_USD,plot_lat,plot_lon
July,VIRGINIA,Southeast,Summer,Thunderstorm Wind,0,0,1000.0,39.0132,-77.9611
July,MARYLAND,Northeast,Summer,Thunderstorm Wind,0,0,4000.0,39.3444,-77.2666
July,ATLANTIC NORTH,Water,Summer,Marine Thunderstorm Wind,0,0,0.0,38.32,-76.45
July,ATLANTIC NORTH,Water,Summer,Marine Thunderstorm Wind,0,0,0.0,38.432,-76.387
July,ATLANTIC NORTH,Water,Summer,Marine Thunderstorm Wind,0,0,0.0,38.86,-77.03
July,ATLANTIC NORTH,Water,Summer,Marine Thunderstorm Wind,0,0,0.0,38.3231,-76.24
July,ATLANTIC NORTH,Water,Summer,Marine Thunderstorm Wind,0,0,0.0,38.86,-77.03
July,ATLANTIC NORTH,Water,Summer,Marine Thunderstorm Wind,0,0,0.0,39.22,-76.53
July,ATLANTIC NORTH,Water,Summer,Marine Thunderstorm Wind,0,0,0.0,39.4,-76.04
July,ATLANTIC NORTH,Water,Summer,Marine Thunderstorm Wind,0,0,0.0,38.88,-76.48
July,ATLANTIC NORTH,Water,Summer,Marine Thunderstorm Wind,0,0,0.0,38.8701,-76.37
July,ATLANTIC NORTH,Water,Summer,Marine Thunderstorm Wind,0,0,0.0,38.24,-76.83
July,ATLANTIC NORTH,Water,Summer,Marine Thunderstorm Wind,0,0,0.0,38.432,-76.387
July,ATLANTIC NORTH,Water,Summer,Marine Thunderstorm Wind,0,0,0.0,38.29,-76.41
July,ATLANTIC NORTH,Water,Summer,Marine Thunderstorm Wind,0,0,0.0,38.16,-76.6727
July,ATLANTIC NORTH,Water,Summer,Marine Thunderstorm Wind,0,0,0.0,38.16,-76.77
July,ATLANTIC NORTH,Water,Summer,Marine Thunderstorm Wind,0,0,0.0,38.29,-76.41
July,ATLANTIC NORTH,Water,Summer,Marine Thunderstorm Wind,0,0,0.0,38.15,-76.67
July,ATLANTIC NORTH,Water,Summer,Marine Thunderstorm Wind,0,0,0.0,38.13,-76.53
July,ATLANTIC NORTH,Water,Summer,Marine Thunderstorm Wind,0,0,0.0,38.07,-76.33
July,ATLANTIC NORTH,Water,Summer,Waterspout,0,0,0.0,39.3838,-76.3652
July,ATLANTIC NORTH,Water,Summer,Marine Thunderstorm Wind,0,0,0.0,38.31,-76.93
July,ATLANTIC NORTH,Water,Summer,Marine Thunderstorm Wind,0,0,0.0,38.71,-77.13
July,GULF OF MEXICO,Water,Summer,Waterspout,0,0,0.0,30.4433,-87.9329
July,NEBRASKA,Northern Rockies and Plains,Summer,Thunderstorm Wind,0,0,0.0,41.5,-98.05
July,NEBRASKA,Northern Rockies and Plains,Summer,Hail,0,0,0.0,42.42,-97.21
